#constant measurement,network,label
#datatype dateTime:2006-01-02,double,binary
2022-09-01T17:36:00Z,42,0
2022-09-01T17:41:00Z,94.8,0
2022-09-01T17:46:00Z,42,0
2022-09-01T17:51:00Z,68.4,0
2022-09-01T17:56:00Z,68.4,0
2022-09-01T18:01:00Z,86.4,0
2022-09-01T18:06:00Z,68.4,0
2022-09-01T18:11:00Z,42,0
2022-09-01T18:16:00Z,112.8,0
2022-09-01T18:21:00Z,68.4,0
2022-09-01T18:26:00Z,42,0
2022-09-01T18:31:00Z,86.4,0
2022-09-01T18:36:00Z,42,0
2022-09-01T18:41:00Z,68.4,0
2022-09-01T18:46:00Z,42,0
2022-09-01T18:51:00Z,104.4,0
2022-09-01T18:56:00Z,68.4,0
2022-09-01T19:01:00Z,42,0
2022-09-01T19:06:00Z,104.4,0
2022-09-01T19:11:00Z,42,0
2022-09-01T19:16:00Z,68.4,0
2022-09-01T19:21:00Z,68.4,0
2022-09-01T19:26:00Z,86.4,0
2022-09-01T19:31:00Z,68.4,0
2022-09-01T19:36:00Z,42,0
2022-09-01T19:41:00Z,112.8,0
2022-09-01T19:46:00Z,150.6,0
2022-09-01T19:51:00Z,42,0
2022-09-01T19:56:00Z,112.8,0
2022-09-01T20:01:00Z,50.4,0
2022-09-01T20:06:00Z,68.4,0
2022-09-01T20:11:00Z,42,0
2022-09-01T20:16:00Z,112.8,0
2022-09-01T20:21:00Z,68.4,0
2022-09-01T20:26:00Z,42,0
2022-09-01T20:31:00Z,112.8,0
2022-09-01T20:36:00Z,42,0
2022-09-01T20:41:00Z,68.4,0
2022-09-01T20:46:00Z,68.4,0
2022-09-01T20:51:00Z,78,0
2022-09-01T20:56:00Z,60,0
2022-09-01T21:01:00Z,42,0
2022-09-01T21:06:00Z,112.8,0
2022-09-01T21:11:00Z,42,0
2022-09-01T21:16:00Z,60,0
2022-09-01T21:21:00Z,68.4,0
2022-09-01T21:26:00Z,86.4,0
2022-09-01T21:31:00Z,68.4,0
2022-09-01T21:36:00Z,42,0
2022-09-01T21:41:00Z,112.8,0
2022-09-01T21:46:00Z,68.4,0
2022-09-01T21:51:00Z,42,0
2022-09-01T21:56:00Z,112.8,0
2022-09-01T22:01:00Z,42,0
2022-09-01T22:06:00Z,68.4,0
2022-09-01T22:11:00Z,68.4,0
2022-09-01T22:16:00Z,86.4,0
2022-09-01T22:21:00Z,68.4,0
2022-09-01T22:26:00Z,42,0
2022-09-01T22:31:00Z,94.8,0
2022-09-01T22:36:00Z,42,0
2022-09-01T22:41:00Z,68.4,0
2022-09-01T22:46:00Z,68.4,0
2022-09-01T22:51:00Z,86.4,0
2022-09-01T22:56:00Z,68.4,0
2022-09-01T23:01:00Z,42,0
2022-09-01T23:06:00Z,104.4,0
2022-09-01T23:11:00Z,68.4,0
2022-09-01T23:16:00Z,42,0
2022-09-01T23:21:00Z,112.8,0
2022-09-01T23:26:00Z,42,0
2022-09-01T23:31:00Z,76.8,0
2022-09-01T23:36:00Z,42,0
2022-09-01T23:41:00Z,112.8,0
2022-09-01T23:46:00Z,68.4,0
2022-09-01T23:51:00Z,42,0
2022-09-01T23:56:00Z,112.8,0
2022-09-02T00:01:00Z,42,0
2022-09-02T00:06:00Z,68.4,0
2022-09-02T00:11:00Z,68.4,0
2022-09-02T00:16:00Z,86.4,0
2022-09-02T00:21:00Z,68.4,0
2022-09-02T00:26:00Z,42,0
2022-09-02T00:31:00Z,112.8,0
2022-09-02T00:36:00Z,42,0
2022-09-02T00:41:00Z,60,0
2022-09-02T00:46:00Z,68.4,0
2022-09-02T00:51:00Z,86.4,0
2022-09-02T00:56:00Z,68.4,0
2022-09-02T01:01:00Z,42,0
2022-09-02T01:06:00Z,112.8,0
2022-09-02T01:11:00Z,68.4,0
2022-09-02T01:16:00Z,42,0
2022-09-02T01:21:00Z,112.8,0
2022-09-02T01:26:00Z,42,0
2022-09-02T01:31:00Z,68.4,0
2022-09-02T01:36:00Z,68.4,0
2022-09-02T01:41:00Z,86.4,0
2022-09-02T01:46:00Z,68.4,0
2022-09-02T01:51:00Z,42,0
2022-09-02T01:56:00Z,112.8,0
2022-09-02T02:01:00Z,42,0
2022-09-02T02:06:00Z,68.4,0
2022-09-02T02:11:00Z,68.4,0
2022-09-02T02:16:00Z,94.8,0
2022-09-02T02:21:00Z,68.4,0
2022-09-02T02:26:00Z,42,0
2022-09-02T02:31:00Z,94.8,0
2022-09-02T02:36:00Z,68.4,0
2022-09-02T02:41:00Z,42,0
2022-09-02T02:46:00Z,94.8,0
2022-09-02T02:51:00Z,42,0
2022-09-02T02:56:00Z,68.4,0
2022-09-02T03:01:00Z,42,0
2022-09-02T03:06:00Z,104.4,0
2022-09-02T03:11:00Z,68.4,0
2022-09-02T03:16:00Z,42,0
2022-09-02T03:21:00Z,112.8,0
2022-09-02T03:26:00Z,42,0
2022-09-02T03:31:00Z,68.4,0
2022-09-02T03:36:00Z,68.4,0
2022-09-02T03:41:00Z,86.4,0
2022-09-02T03:46:00Z,68.4,0
2022-09-02T03:51:00Z,42,0
2022-09-02T03:56:00Z,112.8,0
2022-09-02T04:01:00Z,60,0
2022-09-02T04:06:00Z,50.4,0
2022-09-02T04:11:00Z,94.8,0
2022-09-02T04:16:00Z,60,0
2022-09-02T04:21:00Z,68.4,0
2022-09-02T04:26:00Z,42,0
2022-09-02T04:31:00Z,112.8,0
2022-09-02T04:36:00Z,60,0
2022-09-02T04:41:00Z,42,0
2022-09-02T04:46:00Z,112.8,0
2022-09-02T04:51:00Z,42,0
2022-09-02T04:56:00Z,68.4,0
2022-09-02T05:01:00Z,68.4,0
2022-09-02T05:06:00Z,86.4,0
2022-09-02T05:11:00Z,68.4,0
2022-09-02T05:16:00Z,42,0
2022-09-02T05:21:00Z,112.8,0
2022-09-02T05:26:00Z,42,0
2022-09-02T05:31:00Z,76.8,0
2022-09-02T05:36:00Z,68.4,0
2022-09-02T05:41:00Z,86.4,0
2022-09-02T05:46:00Z,68.4,0
2022-09-02T05:51:00Z,42,0
2022-09-02T05:56:00Z,112.8,0
2022-09-02T06:01:00Z,68.4,0
2022-09-02T06:06:00Z,42,0
2022-09-02T06:11:00Z,112.8,0
2022-09-02T06:16:00Z,42,0
2022-09-02T06:21:00Z,68.4,0
2022-09-02T06:26:00Z,42,0
2022-09-02T06:31:00Z,86.4,0
2022-09-02T06:36:00Z,68.4,0
2022-09-02T06:41:00Z,42,0
2022-09-02T06:46:00Z,104.4,0
2022-09-02T06:51:00Z,42,0
2022-09-02T06:56:00Z,68.4,0
2022-09-02T07:01:00Z,150.6,0
2022-09-02T07:06:00Z,86.4,0
2022-09-02T07:11:00Z,68.4,0
2022-09-02T07:16:00Z,42,0
2022-09-02T07:21:00Z,112.8,0
2022-09-02T07:26:00Z,68.4,0
2022-09-02T07:31:00Z,42,0
2022-09-02T07:36:00Z,94.8,0
2022-09-02T07:41:00Z,68.4,0
2022-09-02T07:46:00Z,68.4,0
2022-09-02T07:51:00Z,42,0
2022-09-02T07:56:00Z,112.8,0
2022-09-02T08:01:00Z,68.4,0
2022-09-02T08:06:00Z,42,0
2022-09-02T08:11:00Z,112.8,0
2022-09-02T08:16:00Z,42,0
2022-09-02T08:21:00Z,60,0
2022-09-02T08:26:00Z,68.4,0
2022-09-02T08:31:00Z,86.4,0
2022-09-02T08:36:00Z,68.4,0
2022-09-02T08:41:00Z,42,0
2022-09-02T08:46:00Z,112.8,0
2022-09-02T08:51:00Z,42,0
